i,size,capacity
1158000,1158001,2097152
1159000,1159001,2097152
1160000,1160001,2097152
1161000,1161001,2097152
1162000,1162001,2097152
1163000,1163001,2097152
1164000,1164001,2097152
1165000,1165001,2097152
1166000,1166001,2097152
1167000,1167001,2097152
1168000,1168001,2097152
1169000,1169001,2097152
1170000,1170001,2097152
1171000,1171001,2097152
1172000,1172001,2097152
1173000,1173001,2097152
1174000,1174001,2097152
1175000,1175001,2097152
1176000,1176001,2097152
1177000,1177001,2097152
1178000,1178001,2097152
1179000,1179001,2097152
1180000,1180001,2097152
1181000,1181001,2097152
1182000,1182001,2097152
1183000,1183001,2097152
1184000,1184001,2097152
1185000,1185001,2097152
1186000,1186001,2097152
1187000,1187001,2097152
1188000,1188001,2097152
1189000,1189001,2097152
1190000,1190001,2097152
1191000,1191001,2097152
1192000,1192001,2097152
1193000,1193001,2097152
1194000,1194001,2097152
1195000,1195001,2097152
1196000,1196001,2097152
1197000,1197001,2097152
1198000,1198001,2097152
1199000,1199001,2097152
1200000,1200001,2097152
1201000,1201001,2097152
1202000,1202001,2097152
1203000,1203001,2097152
1204000,1204001,2097152
1205000,1205001,2097152
1206000,1206001,2097152
1207000,1207001,2097152
1208000,1208001,2097152
1209000,1209001,2097152
1210000,1210001,2097152
1211000,1211001,2097152
1212000,1212001,2097152
1213000,1213001,2097152
1214000,1214001,2097152
1215000,1215001,2097152
1216000,1216001,2097152
1217000,1217001,2097152
1218000,1218001,2097152
1219000,1219001,2097152
1220000,1220001,2097152
1221000,1221001,2097152
1222000,1222001,2097152
1223000,1223001,2097152
1224000,1224001,2097152
1225000,1225001,2097152
1226000,1226001,2097152
1227000,1227001,2097152
1228000,1228001,2097152
1229000,1229001,2097152
1230000,1230001,2097152
1231000,1231001,2097152
1232000,1232001,2097152
1233000,1233001,2097152
1234000,1234001,2097152
1235000,1235001,2097152
1236000,1236001,2097152
1237000,1237001,2097152
1238000,1238001,2097152
1239000,1239001,2097152
1240000,1240001,2097152
1241000,1241001,2097152
1242000,1242001,2097152
1243000,1243001,2097152
1244000,1244001,2097152
1245000,1245001,2097152
1246000,1246001,2097152
1247000,1247001,2097152
1248000,1248001,2097152
1249000,1249001,2097152
1250000,1250001,2097152
1251000,1251001,2097152
1252000,1252001,2097152
1253000,1253001,2097152
1254000,1254001,2097152
1255000,1255001,2097152
1256000,1256001,2097152
1257000,1257001,2097152
1258000,1258001,2097152
1259000,1259001,2097152
1260000,1260001,2097152
1261000,1261001,2097152
1262000,1262001,2097152
1263000,1263001,2097152
1264000,1264001,2097152
1265000,1265001,2097152
1266000,1266001,2097152
1267000,1267001,2097152
1268000,1268001,2097152
1269000,1269001,2097152
1270000,1270001,2097152
1271000,1271001,2097152
1272000,1272001,2097152
1273000,1273001,2097152
1274000,1274001,2097152
1275000,1275001,2097152
1276000,1276001,2097152
1277000,1277001,2097152
1278000,1278001,2097152
1279000,1279001,2097152
1280000,1280001,2097152
1281000,1281001,2097152
1282000,1282001,2097152
1283000,1283001,2097152
1284000,1284001,2097152
1285000,1285001,2097152
1286000,1286001,2097152
1287000,1287001,2097152
1288000,1288001,2097152
1289000,1289001,2097152
1290000,1290001,2097152
1291000,1291001,2097152
1292000,1292001,2097152
1293000,1293001,2097152
1294000,1294001,2097152
1295000,1295001,2097152
1296000,1296001,2097152
1297000,1297001,2097152
1298000,1298001,2097152
1299000,1299001,2097152
1300000,1300001,2097152
1301000,1301001,2097152
1302000,1302001,2097152
1303000,1303001,2097152
1304000,1304001,2097152
1305000,1305001,2097152
1306000,1306001,2097152
1307000,1307001,2097152
1308000,1308001,2097152
1309000,1309001,2097152
1310000,1310001,2097152
1311000,1311001,2097152
1312000,1312001,2097152
1313000,1313001,2097152
1314000,1314001,2097152
1315000,1315001,2097152
1316000,1316001,2097152
1317000,1317001,2097152
1318000,1318001,2097152
1319000,1319001,2097152
1320000,1320001,2097152
1321000,1321001,2097152
1322000,1322001,2097152
1323000,1323001,2097152
1324000,1324001,2097152
1325000,1325001,2097152
1326000,1326001,2097152
1327000,1327001,2097152
1328000,1328001,2097152
1329000,1329001,2097152
1330000,1330001,2097152
1331000,1331001,2097152
1332000,1332001,2097152
1333000,1333001,2097152
1334000,1334001,2097152
1335000,1335001,2097152
1336000,1336001,2097152
1337000,1337001,2097152
1338000,1338001,2097152
1339000,1339001,2097152
1340000,1340001,2097152
1341000,1341001,2097152
1342000,1342001,2097152
1343000,1343001,2097152
1344000,1344001,2097152
1345000,1345001,2097152
1346000,1346001,2097152
1347000,1347001,2097152
1348000,1348001,2097152
1349000,1349001,2097152
1350000,1350001,2097152
1351000,1351001,2097152
1352000,1352001,2097152
1353000,1353001,2097152
1354000,1354001,2097152
1355000,1355001,2097152
1356000,1356001,2097152
1357000,1357001,2097152
1358000,1358001,2097152
