data_type,n,Left,Right,Mid
double,5140473,-9.72673e-08,9.72673e-08,-7.43849e-15
float,5140473,-0.00038751,-0.000387301,-0.00038748
double,5654520,-8.84248e-08,8.84248e-08,1.91513e-14
float,5654520,-0.000138332,-0.000138154,-0.000138243
double,6219972,-8.03862e-08,8.03862e-08,-8.27116e-15
float,6219972,0.000816057,0.000816206,0.000816117
double,6841969,-7.30784e-08,7.30784e-08,-1.01585e-14
float,6841969,-8.62678e-05,-8.61188e-05,-8.62082e-05
double,7526165,-6.64349e-08,6.64349e-08,1.34892e-14
float,7526165,-0.00130089,-0.00130077,-0.00130083
double,8278781,-6.03953e-08,6.03954e-08,-2.73115e-14
float,8278781,0.00147818,0.00147829,0.00147826
double,9106659,-5.49049e-08,5.49049e-08,5.32907e-15
float,9106659,-0.00215485,-0.00215473,-0.00215479
